,awc_id,awc_cat_name
251,251,BOFCA Award
252,252,DVD Premiere Award
253,253,IFCS Award
254,254,Emmy
255,255,Lifetime Achievement Award in Motion Pictures
256,256,Visionary Award
257,257,PFCC Award
258,258,Universe Reader's Choice Award
259,259,Volpi Cup
260,260,Bronze Wrangler
261,261,Bambi
262,262,Distinguished Achievement in Performing Arts
263,263,Will Rogers Motion Picture Pioneers Award
264,264,Legend Award
265,265,EMMA
266,266,Special Silver Ribbon
267,267,Wannabe Award
268,268,Peabody Award
269,269,Nova Award
270,270,Life Career Award
271,271,Almería Tierra de Cine Award
272,272,World Artist Award
273,273,Video Premiere Award
274,274,Action Hero Award
275,275,Hall of Fame
276,276,Streamy Award
277,277,Taurus Honorary Award
278,278,Golden Icon Award
279,279,FilmInk Award
280,280,Henrietta Award
281,281,Prism Award
282,282,Golden Eye for Lifetime Achievement
283,283,CinemaCon Award
284,284,Lifetime Achievement Diamond Award
285,285,Sour Apple
286,286,Redeemer Award
287,287,Montecito Award
288,288,Gold Telly
289,289,WGA Award (Screen)
290,290,Variety Award
291,291,Woman of the Year
292,292,European Film Award
293,293,EFA People's Choice Award
294,294,Outstanding European Achievement in World Cinema
295,295,Evening Standard British Film Award
296,296,Tribute Award
297,297,Harper's Bazaar Award
298,298,HCA TV Award
299,299,INOCA TV
300,300,Dilys Powell Award
301,301,Film Award
302,302,Golden Capital
303,303,Tribute Actor Award
304,304,Elvira Notari Prize
305,305,WIN Award
306,306,BET Comedy Award
307,307,International Lifetime Achievement Award
308,308,Crystal Iris
309,309,ACE
310,310,Golden Pyramid
311,311,Camie
312,312,Clarence Derwent Award
313,313,Grand Acting Award
314,314,Joseph Plateau Life Achievement Award
315,315,King Vidor Memorial Award
316,316,American Film Award
317,317,LAOFCS Award
318,318,Special Citation
319,319,NYFCO Award
320,320,Critics Award
321,321,Silver Medallion Award
322,322,Golden Slate
323,323,Midseason Award
324,324,Annie
325,325,Charlie Chaplin Icon Award
326,326,Half-Life Award
327,327,Grand Special Prize
328,328,Fright Meter Award
329,329,Barrymore Award
330,330,Career Exellence Award
331,331,German Independence Honorary Award
332,332,Star of Excellence
333,333,Silver Seashell
334,334,Honorary Grand Prize
335,335,Daytime Emmy
336,336,François Truffaut Award
337,337,Excellence Award
338,338,Auteur Award
339,339,Street Award
340,340,Tokyo Grand Prix
341,341,Audience Choice Award
342,342,Australian Star of the Year
343,343,MTV Movie + TV Award
344,344,Short Film Award
345,345,BTVA Special/DVD Voice Acting Award
346,346,President's Award
347,347,Video Source Award
348,348,Museum of Modern Art Film Benefit Honoree
349,349,Chairman's Award
350,350,Lifetime Achievement Award in Television
351,351,Vision Award
352,352,Krzysztof Kieslowski Award
353,353,Vanguard Award
354,354,Leo
355,355,Spirit of Independence Award
356,356,Best Actress
357,357,International Star Award
358,358,Indie Impact Award
359,359,Chairman's Vanguard Award
360,360,Courage in Acting Award
361,361,Academy Fellowship
362,362,Film Award in Gold
363,363,Golden Laurel
364,364,Golden Marc'Aurelio Acting Award
365,365,Telegatto
366,366,Cinescape Genre Face of the Future Award
367,367,Golden Wave
368,368,Jury Prize
369,369,Hollywood Breakthrough Award
370,370,American Music Award
371,371,ASCAP Award
372,372,Pioneering Spirit Award
373,373,Kids' Choice Award
374,374,MTV Europe Music Award
375,375,VMA
376,376,Soul Train Award
377,377,Gold Creator Award
378,378,Irina Palm
379,379,Grand Jury Prize
380,380,Joel Siegel Award
381,381,Humanitas Prize
382,382,Freedom of Expression Award
383,383,ACCA TV
384,384,Bob Hope Humanitarian Award
385,385,David Lean Award for Direction
386,386,ASECAN Award
387,387,Bodil
388,388,Best Director
389,389,Grand Prix
390,390,Capri Movie of the Year Award
391,391,Filmmaker Award
392,392,Screen International Award
393,393,OFTA TV Hall of Fame
394,394,Literary Award
395,395,White Elephant
396,396,VDKUF Award
397,397,Fondazione Mimmo Rotella Award
398,398,Golden Lion
399,399,Brian Award
400,400,Golden Osella
401,401,Pasinetti Award
402,402,Human Rights Film Network Award - Special Mention
403,403,Paul Selvin Honorary Award
404,404,Dynamic Duo Award
405,405,Special Honorary Award
406,406,BloodGuts UK Horror Award
407,407,Gertrudis Award
408,408,Rising Star Award
409,409,Premiere New Power Award
410,410,Upstream Prize
411,411,World Soundtrack Award
412,412,YoungStar Award
413,413,Capri Director Award
414,414,CEC Award
415,415,Golden Eagle
416,416,Outstanding Contribution to World Cinema
417,417,Foreign Award
418,418,BAFTA TV Award
419,419,C21's International Drama Award
420,420,Dagger
421,421,RTS Television Award
422,422,Marquee Award
423,423,Stanislavsky Prize
424,424,DVDX Award
425,425,Honorary Golden Berlin Bear
426,426,British LGBT Award
427,427,Timeless Award
428,428,Genie
429,429,Stephen F. Kolzak Award
430,430,Outfest Achievement Award
431,431,Queerty
432,432,Screen Idol Award
433,433,Special Jury Prize
434,434,Vice/Martin Award
435,435,Special Volpi Cup
436,436,ALMA Award
437,437,Anthony Quinn Award for Achievement in Motion Pictures
438,438,Antoñita Colomé Award
439,439,Label Europa Cinemas
440,440,Golden India Catalina
441,441,Feroz Award
442,442,Goya
443,443,Honorary Goya
444,444,Imagen Award
445,445,Lasting Image Award
446,446,ICS Cannes Award
447,447,Ischia Actor Award
448,448,José María Forqué Award
449,449,Festival President's Award
450,450,CineMerit Award
451,451,Francisco Rabal Award
452,452,Málaga Lifetime Achievement Award
453,453,NCLR Bravo Award
454,454,Premio ACE
455,455,Award of the Spanish Actors Union
456,456,Platino Award
457,457,Honorary Award
458,458,IF Award
459,459,Silver Logie
460,460,Feature Film Award
461,461,Individual Award
462,462,Gold Panda
463,463,Film and Literature Award
464,464,Leopard Club Award
465,465,Crystal Award
466,466,Joseph Plateau Award of Honour
467,467,Virginia Film Award
468,468,Invisible Woman Award
469,469,Canadian Screen Award
470,470,Best Supporting Actor
471,471,Capri Actor Award
472,472,Capri Legend Award
473,473,Guinness World Record
474,474,Achievement in Acting
475,475,Legend of Cinema Award
476,476,Outstanding Work in Cinema Award
477,477,70th Anniversary Prize
478,478,Capri Supporting Actress Award
479,479,Cinema for Peace Honorary Award
480,480,GQ Award
481,481,Truly Moving Sound Award
482,482,Logie
483,483,Mill Valley Film Festival Award
484,484,Gala Tribute Award
485,485,Magnolia Award
486,486,SFC Award
487,487,Genre Award
488,488,Action Movie Star of the Year
489,489,Trailblazer Award
490,490,ADG Award
491,491,Family Television Award
492,492,Futurewave Youth Jury Award
