,mov_href,mov_title,mov_year,mov_type,mov_rating
953,tt0425210,Lucky Number Slevin,2006.0,0,7.7
954,tt0472251,Slavery and the Making of America,2005.0,1,7.8
955,tt0350261,An Unfinished Life,2005.0,0,7.0
956,tt0450392,Batman Begins,2005.0,8,8.2
957,tt0372784,Batman Begins,2005.0,0,8.2
958,tt0342258,Unleashed,2005.0,0,7.0
959,tt1024234,Rameses: Wrath of God or Man?,2004.0,12,5.2
960,tt0405159,Million Dollar Baby,2004.0,0,8.1
961,tt0457610,A Remarkable Promise,2004.0,6,5.1
962,tt0315824,The Big Bounce,2004.0,0,4.9
963,tt0372311,Guilty by Association,2003.0,5,2.4
964,tt0315327,Bruce Almighty,2003.0,0,6.8
965,tt0285531,Dreamcatcher,2003.0,0,5.5
966,tt0304328,Levity,2003.0,0,6.4
967,tt0094416,American Experience,1993.0,10,8.6
968,tt0164184,The Sum of All Fears,2002.0,0,6.4
969,tt0257756,High Crimes,2002.0,0,6.4
970,tt0164334,Along Came a Spider,2001.0,0,6.4
971,tt0171580,Nurse Betty,2000.0,0,6.2
972,tt0164212,Under Suspicion,2000.0,0,6.5
973,tt0120647,Deep Impact,1998.0,0,6.2
974,tt0120696,Hard Rain,1998.0,0,5.9
975,tt0118607,Amistad,1997.0,0,7.3
976,tt0119468,Kiss the Girls,1997.0,0,6.6
977,tt0115857,Chain Reaction,1996.0,0,5.7
978,tt0117071,Moll Flanders,1996.0,0,6.5
979,tt0111161,The Shawshank Redemption,1994.0,0,9.3
980,tt13099266,Rabbit Ears: Follow the Drinking Gourd,1992.0,4,
981,tt0105695,Unforgiven,1992.0,0,8.2
982,tt0105159,The Power of One,1992.0,0,7.2
983,tt4201912,The Savior Is Born,1992.0,2,4.3
984,tt0250787,The True Story of Glory Continues,1991.0,15,5.9
985,tt0102798,Robin Hood: Prince of Thieves,1991.0,0,6.9
986,tt0099165,The Bonfire of the Vanities,1990.0,0,5.6
987,tt0098769,The Civil War,1990.0,13,9.0
988,tt0255132,The Earth Day Special,1990.0,16,5.9
989,tt0097239,Driving Miss Daisy,1989.0,0,7.4
990,tt0097626,Johnny Handsome,1989.0,0,6.1
991,tt0097722,Lean on Me,1989.0,0,7.4
992,tt0094884,Clean and Sober,1988.0,0,6.7
993,tt0094885,Blood Money,1988.0,2,4.9
994,tt0093021,Fight for Life,1987.0,2,5.9
995,tt0094056,Street Smart,1987.0,0,6.4
996,tt0091844,Resting Place,1986.0,2,6.4
997,tt0089111,Protokoll einer Hinrichtung,1985.0,2,5.7
998,tt0088634,The Twilight Zone,1985.0,1,7.8
999,tt0090151,That Was Then... This Is Now,1985.0,0,6.2
1000,tt0089555,Marie,1985.0,0,6.7
1001,tt0088750,The Atlanta Child Murders,1985.0,3,6.6
1002,tt0088242,Teachers,1984.0,0,6.1
1003,tt0087386,Harry & Son,1984.0,0,5.8
1004,tt0179757,Death of a Prophet,1981.0,2,4.5
1005,tt0082719,The Marva Collins Story,1981.0,2,7.8
