,genre_id,genre_name
0,0,Sport
1,1,Animation
2,2,Adult
3,3,Drama
4,4,Biography
5,5,News
6,6,Fantasy
7,7,Comedy
8,8,Horror
9,9,History
10,10,Crime
11,11,Short
12,12,Western
13,13,Music
14,14,War
15,15,Family
16,16,Mystery
17,17,Thriller
18,18,Musical
19,19,Documentary
20,20,Adventure
21,21,Action
22,22,Romance
23,23,Talk-Show
24,24,Sci-Fi
