,mg_movie_href,mg_genre_id
1,tt0097880,9
2,tt0097880,7
0,tt0097373,19
1,tt0097373,9
2,tt0097373,7
0,tt0083483,2
1,tt0083483,7
0,tt0092804,24
1,tt0092804,20
2,tt0092804,7
0,tt0091106,20
1,tt0091106,7
0,tt0091786,7
0,tt0088146,19
1,tt0088146,18
2,tt0088146,7
0,tt0087617,1
1,tt0087617,7
0,tt0082138,2
1,tt0082138,7
0,tt0078999,24
1,tt0078999,7
0,tt0079161,7
0,tt0076923,6
1,tt0076923,20
2,tt0076923,7
0,tt15005606,1
0,tt7221090,7
0,tt9383986,7
0,tt11496186,3
0,tt9495238,3
0,tt5179598,1
1,tt5179598,20
2,tt5179598,7
0,tt1856010,7
0,tt3890160,19
1,tt3890160,9
2,tt3890160,7
0,tt4986134,11
1,tt4986134,20
2,tt4986134,7
0,tt8501970,2
1,tt8501970,3
0,tt7118264,8
0,tt4383594,2
1,tt4383594,17
2,tt4383594,7
0,tt2093991,2
1,tt2093991,24
0,tt2170439,19
1,tt2170439,2
0,tt3707110,0
1,tt3707110,9
2,tt3707110,13
0,tt5786876,3
0,tt6715438,3
1,tt6715438,6
0,tt2187474,2
1,tt2187474,3
2,tt2187474,7
0,tt2174736,3
1,tt2174736,7
0,tt0364151,20
1,tt0364151,22
0,tt2400437,2
1,tt2400437,3
2,tt2400437,13
0,tt1032763,18
1,tt1032763,7
0,tt1499658,19
1,tt1499658,2
0,tt2066119,3
1,tt2066119,7
0,tt1615147,1
1,tt1615147,7
0,tt1194417,19
1,tt1194417,2
2,tt1194417,20
0,tt1949718,17
0,tt1381505,2
1,tt1381505,7
0,tt1234548,2
1,tt1234548,21
0,tt1182345,0
1,tt1182345,18
2,tt1182345,7
0,tt1247692,2
1,tt1247692,7
0,tt1068669,8
1,tt1068669,20
2,tt1068669,7
0,tt1323904,2
1,tt1323904,3
0,tt1000771,24
1,tt1000771,7
0,tt0478087,19
1,tt0478087,24
2,tt0478087,7
0,tt1239372,3
0,tt0486583,2
1,tt0486583,17
2,tt0486583,23
0,tt0772202,23
1,tt0772202,9
2,tt0772202,13
0,tt0348150,9
1,tt0348150,0
0,tt1809373,3
